Load,Actuator,Time,Strain
102.8704,7.375,28.034,0.00354
100.534,7.368056,28.101,0.003522
99.31967,7.361111,28.168,0.003518
99.12547,7.361111,28.234,0.003515
99.46957,7.361111,28.301,0.003514
101.0511,7.361111,28.368,0.003528
103.2796,7.368056,28.434,0.003548
105.1884,7.381944,28.501,0.003568
106.1793,7.388889,28.568,0.003599
105.9301,7.388889,28.634,0.003621
105.3849,7.388889,28.701,0.003631
104.0502,7.388889,28.768,0.003639
101.7753,7.381944,28.834,0.003625
100.1311,7.375,28.901,0.003606
99.89792,7.375,28.968,0.00361
100.1766,7.375,29.034,0.00361
101.4597,7.375,29.101,0.003616
103.4585,7.381944,29.168,0.003637
105.1429,7.388889,29.234,0.003658
106.2995,7.402778,29.301,0.003686
106.2712,7.402778,29.368,0.003715
105.7253,7.402778,29.434,0.003733
104.3087,7.402778,29.501,0.003733
101.6612,7.395833,29.568,0.00372
99.54293,7.388889,29.634,0.003705
98.73918,7.388889,29.701,0.003694
98.77905,7.381944,29.768,0.003698
100.3477,7.388889,29.834,0.00371
102.205,7.388889,29.901,0.003723
104.3324,7.402778,29.968,0.003745
105.713,7.409722,30.034,0.003768
106.1851,7.416666,30.101,0.003789
105.8254,7.416666,30.168,0.003814
105.1428,7.416666,30.234,0.003823
103.4312,7.416666,30.301,0.003817
101.4136,7.409722,30.368,0.003806
100.2247,7.402778,30.434,0.003796
100.2371,7.402778,30.501,0.003793
101.0844,7.402778,30.568,0.003802
102.8754,7.409722,30.634,0.003819
104.6948,7.416666,30.701,0.003833
105.9473,7.423611,30.768,0.003862
106.2986,7.430556,30.834,0.003886
105.8455,7.430556,30.901,0.003902
105.1003,7.430556,30.968,0.003915
103.4055,7.430556,31.034,0.003912
101.2742,7.423611,31.101,0.003894
100.2213,7.416666,31.168,0.003888
100.2234,7.416666,31.234,0.003889
101.0545,7.416666,31.301,0.003891
102.9251,7.423611,31.368,0.003911
104.779,7.430556,31.434,0.003927
106.027,7.4375,31.501,0.003948
106.368,7.444445,31.568,0.003979
105.983,7.444445,31.634,0.003997
105.2625,7.444445,31.701,0.004007
103.5681,7.444445,31.768,0.004008
101.2522,7.4375,31.834,0.003989
99.94928,7.430556,31.901,0.003976
99.94746,7.430556,31.968,0.003981
100.5976,7.430556,32.034,0.003983
102.3948,7.4375,32.101,0.003996
104.4062,7.444445,32.168,0.00402
105.7588,7.451389,32.234,0.004041
106.2746,7.458333,32.301,0.004063
105.986,7.458333,32.368,0.004086
105.4241,7.458333,32.434,0.004096
104.0526,7.458333,32.501,0.004097
101.9515,7.458333,32.568,0.004085
100.5006,7.451389,32.634,0.004074
100.0595,7.444445,32.701,0.00407
100.7397,7.444445,32.768,0.004077
102.431,7.451389,32.834,0.004089
104.2793,7.458333,32.901,0.004104
105.8399,7.465278,32.968,0.00413
