Load,Actuator,Time,Strain
103.1378,8.1875,37.823,0.004717609
104.9508,8.194445,37.89,0.004728135
106.5138,8.208334,37.957,0.004745237
107.5151,8.208334,38.023,0.00476559
107.9917,8.215277,38.09,0.00477886
108.1461,8.215277,38.157,0.004794054
107.8201,8.222222,38.223,0.004811065
106.5032,8.222222,38.29,0.004810915
105.293,8.215277,38.357,0.004805173
104.583,8.215277,38.423,0.004803424
104.1172,8.215277,38.49,0.004799391
104.7957,8.208334,38.557,0.004802993
106.2224,8.215277,38.623,0.004818759
107.6307,8.215277,38.69,0.004833143
108.7341,8.229166,38.757,0.004861095
108.9425,8.229166,38.823,0.004895455
108.1325,8.236111,38.89,0.004914774
105.9461,8.229166,38.957,0.004909346
103.9151,8.222222,39.023,0.004896905
102.3679,8.215277,39.09,0.00488595
101.9063,8.215277,39.157,0.004882252
101.9931,8.215277,39.223,0.004884604
102.9546,8.215277,39.29,0.004886626
104.9124,8.215277,39.357,0.004901881
107.1851,8.229166,39.423,0.004930428
108.5445,8.236111,39.49,0.004949922
108.89,8.243056,39.557,0.004982462
108.4131,8.243056,39.623,0.005007292
106.7211,8.243056,39.69,0.005010998
104.1801,8.236111,39.757,0.004993117
102.5077,8.229166,39.823,0.004984574
101.7909,8.222222,39.89,0.004975669
101.808,8.222222,39.957,0.004973225
102.691,8.222222,40.023,0.004982366
104.4334,8.229166,40.09,0.004995965
106.4008,8.236111,40.157,0.005013192
108.0474,8.243056,40.223,0.00503708
108.6601,8.25,40.29,0.005060291
108.61,8.25,40.357,0.005083462
108.1888,8.25,40.423,0.005103018
106.5618,8.25,40.49,0.005102863
104.0045,8.243056,40.557,0.005087286
102.561,8.236111,40.623,0.005080226
101.918,8.236111,40.69,0.005070145
101.907,8.236111,40.757,0.005069202
102.8676,8.236111,40.823,0.005078748
104.8718,8.236111,40.89,0.005091311
107.2919,8.25,40.957,0.005115923
108.9225,8.256945,41.023,0.005149524
109.2154,8.263889,41.09,0.005183083
108.3242,8.270834,41.157,0.005212825
105.6356,8.263889,41.223,0.0052116
102.8475,8.25,41.29,0.005186446
100.99,8.243056,41.357,0.005172457
100.3464,8.236111,41.423,0.005169834
100.4815,8.236111,41.49,0.005165765
101.5245,8.236111,41.557,0.005173941
103.2686,8.243056,41.623,0.00518901
104.9723,8.25,41.69,0.005203077
106.4533,8.256945,41.757,0.005216352
107.5853,8.263889,41.823,0.00523773
108.2887,8.270834,41.89,0.005254998
108.1962,8.270834,41.957,0.005273345
107.8843,8.270834,42.023,0.005289985
106.8632,8.270834,42.09,0.005293162
105.277,8.270834,42.157,0.005287121
103.7808,8.263889,42.223,0.005278342
